ActionType,ActionParameters,duration,,,,,,
Search,Vann AND Vacation from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Vann AND Vacation from 1982-01-01 to 2015-01-01 page 0,21,,,,,,
EditNotes,VASTOMS_revision_106_June_20_9:29_AM.patch,0,,,,,,
Search,Lagos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Lagos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Resume-LindaLagos.pdf,2,,,,,,
EditNotes,VASTOMS_revision_107_June_20_9:49_AM.patch,11,,,,,,
GetDetail,Employee Record 45,49,,,,,,
EditNotes,VASTOMS_revision_110_June_20_9:50_AM.patch,14,,,,,,
Search,Fusil from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Fusil from 1982-01-01 to 2015-01-01 page 0,44,,,,,,
EditNotes,VASTOMS_revision_112_June_20_9:51_AM.patch,20,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
EditNotes,VASTOMS_revision_113_June_20_9:55_AM.patch,60,,,,,,
EditNotes,VASTOMS_revision_114_June_20_9:56_AM.patch,0,,,,,,
EditNotes,VASTOMS_revision_115_June_20_9:59_AM.patch,2,,,,,,
Search,Panta from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Panta from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 3,13,,,,,,
Search,Panta AND Weekend from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Panta AND Weekend from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Panta AND weekend from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Panta AND weekend from 1982-01-01 to 2015-01-01 page 0,46,,,,,,
Search,Panta from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,Panta from 1982-01-01 to 2015-01-01 page 0,35,,,,,,
Search,Panta from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Panta from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 47,118,,,,,,
GetDetail,Employee Record 5,49,,,,,,
EditNotes,VASTOMS_revision_117_June_20_10:04_AM.patch,108,,,,,,
Search,Baza from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Baza from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,Calix from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Calix from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
Search,Flecha from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
Search,Flecha from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Al from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Alca from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Alca from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Berg from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Berg from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Forl from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Forl from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,Abila Air from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Abila Air from 1982-01-01 to 2015-01-01 page 0,56,,,,,,
GetDetail,Article 157,31,,,,,,
GetDetail,Article 211,5,,,,,,
GetDetail,Article 157,0,,,,,,
Search,Resumi from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Resumi from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 51,185,,,,,,
Search,Airport from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Airport from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
GetDetail,Article 443,94,,,,,,
EditNotes,VASTOMS_revision_120_June_20_10:35_AM.patch,75,,,,,,
Search,Airport from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,Airport from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 157,25,,,,,,
GetDetail,Article 211,14,,,,,,
EditNotes,VASTOMS_revision_124_June_20_10:37_AM.patch,24,,,,,,
GetDetail,Article 211,90,,,,,,
Search,Breaking: from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Breaking: from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 2,3,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 1,6,,,,,,
GetDetail,Article 422,6,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 2,3,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
GetDetail,Article 1,11,,,,,,
GetDetail,Article 443,4,,,,,,
GetDetail,Article 422,7,,,,,,
EditNotes,VASTOMS_revision_127_June_20_10:40_AM.patch,1,,,,,,
GetDetail,Article 393,4,,,,,,
GetDetail,Article 371,5,,,,,,
GetDetail,Article 314,44,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 2,2,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 1,64,,,,,,
EditNotes,VASTOMS_revision_130_June_20_10:42_AM.patch,21,,,,,,
GetDetail,Article 1,8,,,,,,
GetDetail,Article 422,10,,,,,,
GetDetail,Article 422,2,,,,,,
GetDetail,Article 422,2,,,,,,
GetDetail,Article 393,8,,,,,,
GetDetail,Article 393,2,,,,,,
GetDetail,Article 371,7,,,,,,
GetDetail,Article 371,4,,,,,,
GetDetail,Article 314,10,,,,,,
GetDetail,Article 314,3,,,,,,
Search,Breaking from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
GetDetail,Article 182,10,,,,,,
GetDetail,Article 35,9,,,,,,
GetDetail,Article 35,1,,,,,,
GetDetail,Article 54,10,,,,,,
GetDetail,Article 54,2,,,,,,
GetDetail,Article 60,5,,,,,,
EditNotes,VASTOMS_revision_135_June_20_10:44_AM.patch,10,,,,,,
GetDetail,Article 60,2,,,,,,
GetDetail,Article 68,9,,,,,,
GetDetail,Article 88,8,,,,,,
GetDetail,Article 88,1,,,,,,
GetDetail,Article 88,1,,,,,,
GetDetail,Article 102,7,,,,,,
GetDetail,Article 102,2,,,,,,
GetDetail,Article 132,7,,,,,,
GetDetail,Article 135,9,,,,,,
GetDetail,Article 135,1,,,,,,
GetDetail,Article 260,3,,,,,,
EditNotes,VASTOMS_revision_136_June_20_10:45_AM.patch,12,,,,,,
GetDetail,Article 260,2,,,,,,
GetDetail,Article 139,14,,,,,,
GetDetail,Article 150,8,,,,,,
GetDetail,Article 150,2,,,,,,
GetDetail,Article 195,12,,,,,,
GetDetail,Article 195,2,,,,,,
GetDetail,Article 219,8,,,,,,
EditNotes,VASTOMS_revision_140_June_20_10:46_AM.patch,3,,,,,,
GetDetail,Article 219,1,,,,,,
GetDetail,Article 291,12,,,,,,
GetDetail,Article 291,185,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,26,,,,,,
Search,escape from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,escape from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
GetDetail,Article 351,15,,,,,,
GetDetail,Article 334,13,,,,,,
GetDetail,Article 59,26,,,,,,
GetDetail,Article 341,73,,,,,,
GetDetail,Article 341,2,,,,,,
GetDetail,Article 351,10,,,,,,
GetDetail,Article 334,4,,,,,,
GetDetail,Article 334,3,,,,,,
GetDetail,Article 334,1,,,,,,
Search,escape from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
Search,escape from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Article 59,108,,,,,,
Search,scozz from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Scozz from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Scozz from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 38,0,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Employee Record 1,16,,,,,,
GetDetail,Employee Record 22,24,,,,,,
Search,From: Sten.San from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,From: Sten.San from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,From: Sten from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,From: Sten from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Sten. from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Sten. from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Sten. from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,Lais from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Lais from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 7,255,,,,,,
Search,reception from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,reception from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Article 59,4,,,,,,
GetDetail,Article 99,5,,,,,,
GetDetail,Article 423,70,,,,,,
GetDetail,Article 423,5,,,,,,
GetDetail,Article 446,25,,,,,,
GetDetail,Article 446,4,,,,,,
GetDetail,Article 124,0,,,,,,
EditNotes,VASTOMS_revision_141_June_20_11:46_AM.patch,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,83,,,,,,
GetDetail,Article 406,66,,,,,,
GetDetail,Article 322,30,,,,,,
GetDetail,Article 306,17,,,,,,
GetDetail,Article 430,6,,,,,,
GetDetail,Article 306,4,,,,,,
GetDetail,Article 430,23,,,,,,
EditNotes,VASTPSZ_revision_2_July_17_10:23_AM.patch,90,,,,,,
GetDetail,Article 340,7,,,,,,
GetDetail,Article 27,9,,,,,,
GetDetail,Article 430,7,,,,,,
GetDetail,Article 340,6,,,,,,
GetDetail,Article 27,1,,,,,,
EditNotes,VASTPSZ_revision_4_July_17_10:25_AM.patch,29,,,,,,
GetDetail,Article 340,3,,,,,,
GetDetail,Article 27,3,,,,,,
GetDetail,Article 408,25,,,,,,
EditNotes,VASTPSZ_revision_5_July_17_10:26_AM.patch,240,,,,,,
EditNotes,VASTPSZ_revision_9_July_17_10:30_AM.patch,0,,,,,,
GetDetail,Article 27,4,,,,,,
GetDetail,Article 408,5,,,,,,
GetDetail,Article 162,53,,,,,,
GetDetail,Article 162,7,,,,,,
GetDetail,Article 162,1,,,,,,
GetDetail,Article 162,3,,,,,,
GetDetail,Article 99,89,,,,,,
GetDetail,Article 99,2,,,,,,
GetDetail,Article 59,7,,,,,,
GetDetail,Article 279,79,,,,,,
GetDetail,Article 56,28,,,,,,
GetDetail,Article 227,74,,,,,,
GetDetail,Bio-Ada%20Campo.pdf,66,,,,,,
GetDetail,Bio-Ingrid%20Barranco.pdf,32,,,,,,
GetDetail,Bio-OrhanStrum.pdf,92,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,66,,,,,,
GetDetail,Bio-Willem%20Vasco.pdf,57,,,,,,
GetDetail,Resume-AdanMorlun.pdf,50,,,,,,
GetDetail,Resume-AlbinaHafon.pdf,36,,,,,,
GetDetail,Resume-AndaRibera.pdf,80,,,,,,
GetDetail,Resume-AxelCalzas.pdf,63,,,,,,
GetDetail,Resume-BertrandOvan.pdf,122,,,,,,
GetDetail,Resume-CarlaForluniau.pdf,47,,,,,,
GetDetail,Resume-ClaudioHawelon.pdf,63,,,,,,
GetDetail,Resume-CorneliaLais.pdf,30,,,,,,
GetDetail,Resume-DanteCoginian.pdf,48,,,,,,
GetDetail,Resume-ElsaOrilla.pdf,46,,,,,,
GetDetail,Resume-EmileArpa.pdf,36,,,,,,
EditNotes,VASTPSZ_revision_10_July_17_10:54_AM.patch,41,,,,,,
GetDetail,Resume-FelixBalas.pdf,21,,,,,,
GetDetail,Resume-EmileArpa.pdf,48,,,,,,
GetDetail,Resume-FelixBalas.pdf,49,,,,,,
GetDetail,Resume-FelixResumir.pdf,33,,,,,,
GetDetail,Resume-HidekiCocinaro.pdf,47,,,,,,
GetDetail,Resume-IreneNant.pdf,61,,,,,,
EditNotes,VASTPSZ_revision_11_July_17_10:59_AM.patch,12,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,suspect from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,suspect from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Suspect from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Suspects from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Suspected from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,kidnapped from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,kidnapped from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,kid from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,kid from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
GetDetail,Email Header 1170,17,,,,,,
GetDetail,Email Header 1167,4,,,,,,
GetDetail,Email Header 1167,7,,,,,,
GetDetail,Email Header 1165,4,,,,,,
GetDetail,Email Header 1167,10,,,,,,
GetDetail,Email Header 1162,9,,,,,,
GetDetail,Email Header 1162,6,,,,,,
GetDetail,Email Header 1160,4,,,,,,
GetDetail,Email Header 1160,46,,,,,,
GetDetail,Employee Record 1,18,,,,,,
GetDetail,Employee Record 2,5,,,,,,
GetDetail,Employee Record 3,9,,,,,,
GetDetail,Employee Record 4,10,,,,,,
GetDetail,Employee Record 5,5,,,,,,
EditNotes,VASTPSZ_revision_12_July_17_11:03_AM.patch,42,,,,,,
GetDetail,Employee Record 6,18,,,,,,
EditNotes,VASTPSZ_revision_13_July_17_11:04_AM.patch,10,,,,,,
GetDetail,Employee Record 7,34,,,,,,
GetDetail,Employee Record 8,14,,,,,,
GetDetail,Employee Record 9,9,,,,,,
GetDetail,Employee Record 10,12,,,,,,
GetDetail,Employee Record 11,128,,,,,,
GetDetail,Employee Record 12,10,,,,,,
GetDetail,Employee Record 13,7,,,,,,
GetDetail,Employee Record 14,19,,,,,,
GetDetail,Employee Record 15,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
GetDetail,Article 406,0,,,,,,
GetDetail,Article 121,5,,,,,,
GetDetail,Article 121,140,,,,,,
Search,None from 1982-12-30 to 2015-01-01 page 0,65,,,,,,
Search,None from 2013-12-26 to 2015-01-01 page 0,19,,,,,,
Search,None from 2013-12-26 to 2014-01-31 page 0,12,,,,,,
GetDetail,Article 227,5,,,,,,
GetDetail,Article 279,22,,,,,,
GetDetail,Email Header 921,27,,,,,,
Search,None from 2014-01-10 to 2014-01-31 page 0,26,,,,,,
Search,None from 2014-01-10 to 2014-01-23 page 0,44,,,,,,
Search,None from 2014-01-17 to 2014-01-23 page 0,7,,,,,,
Search,None from 2014-01-17 to 2014-10-23 page 0,12,,,,,,
Search,None from 2014-01-17 to 2014-01-23 page 0,15,,,,,,
GetDetail,Article 227,20,,,,,,
GetDetail,Article 454,23,,,,,,
GetDetail,Article 56,27,,,,,,
Search,None from 2014-01-16 to 2014-01-23 page 0,17,,,,,,
Search,None from 2014-01-16 to 2014-01-18 page 0,58,,,,,,
EditNotes,VASTPSZ_revision_15_July_17_11:31_AM.patch,3,,,,,,
GetDetail,Email Header 933,117,,,,,,
GetDetail,Email Header 933,8,,,,,,
GetDetail,Email Header 931,5,,,,,,
GetDetail,Email Header 931,6,,,,,,
GetDetail,Email Header 929,11,,,,,,
GetDetail,Email Header 929,20,,,,,,
GetDetail,Email Header 926,14,,,,,,
GetDetail,Email Header 933,22,,,,,,
GetDetail,Email Header 926,0,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,15,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,51,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,5,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,16,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,1,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,2,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,8,,,,,,
Search,None from 1982-01-01 to 2014-01-18 page 0,0,,,,,,
GetDetail,Email Header 926,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,24,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 2,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 3,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 4,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 5,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 6,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 8,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 9,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 10,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 11,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 12,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 14,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 16,20,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 1,29,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 2,22,,,,,,
GetDetail,Article 222,143,,,,,,
GetDetail,Article 436,96,,,,,,
GetDetail,Article 111,5,,,,,,
GetDetail,Article 436,4,,,,,,
GetDetail,Article 111,7,,,,,,
GetDetail,Article 143,0,,,,,,
EditNotes,VASTPSZ_revision_16_July_18_8:43_AM.patch,30,,,,,,
GetDetail,Article 209,63,,,,,,
GetDetail,Article 353,6,,,,,,
GetDetail,Article 320,110,,,,,,
GetDetail,Article 40,230,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 3,10,,,,,,
GetDetail,Article 395,101,,,,,,
GetDetail,Article 395,6,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 4,6,,,,,,
GetDetail,Article 345,98,,,,,,
EditNotes,VASTPSZ_revision_17_July_18_8:54_AM.patch,20,,,,,,
GetDetail,Article 326,27,,,,,,
GetDetail,Article 345,9,,,,,,
GetDetail,Article 141,15,,,,,,
Search,awelon from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,awelon from 1982-01-01 to 2015-01-01 page 5,2,,,,,,
Search,awelon from 1982-01-01 to 2015-01-01 page 6,1,,,,,,
Search,awelon from 1982-01-01 to 2015-01-01 page 7,1,,,,,,
Search,awelon from 1982-01-01 to 2015-01-01 page 5,5,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
GetDetail,Article 138,26,,,,,,
GetDetail,Article 386,20,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 2,2,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Awelon from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,kid from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,kid from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,kid from 1982-01-01 to 2015-01-01 page 1,5,,,,,,
Search,kid from 1982-01-01 to 2015-01-01 page 2,3,,,,,,
GetDetail,Article 268,108,,,,,,
EditNotes,VASTPSZ_revision_19_July_18_8:59_AM.patch,76,,,,,,
GetDetail,Article 268,5,,,,,,
GetDetail,Article 47,77,,,,,,
Search,leader from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,leader from 1982-01-01 to 2015-01-01 page 0,85,,,,,,
GetDetail,Article 265,2,,,,,,
GetDetail,Article 227,34,,,,,,
GetDetail,Article 298,75,,,,,,
GetDetail,Article 327,176,,,,,,
EditNotes,VASTPSZ_revision_20_July_18_9:08_AM.patch,11,,,,,,
Search,leader from 1982-01-01 to 2015-01-01 page 1,11,,,,,,
GetDetail,Article 365,69,,,,,,
Search,member from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,member from 1982-01-01 to 2015-01-01 page 1,11,,,,,,
GetDetail,Article 410,27,,,,,,
GetDetail,Article 140,15,,,,,,
GetDetail,Article 140,4,,,,,,
GetDetail,Article 417,10,,,,,,
GetDetail,Article 417,4,,,,,,
GetDetail,Article 205,11,,,,,,
GetDetail,Article 117,14,,,,,,
GetDetail,Article 251,106,,,,,,
GetDetail,Article 222,37,,,,,,
GetDetail,Article 436,16,,,,,,
GetDetail,Article 143,105,,,,,,
GetDetail,Article 147,10,,,,,,
Search,member from 1982-01-01 to 2015-01-01 page 2,4,,,,,,
GetDetail,Article 334,28,,,,,,
GetDetail,Article 178,26,,,,,,
GetDetail,Article 284,20,,,,,,
Search,member from 1982-01-01 to 2015-01-01 page 3,2,,,,,,
GetDetail,Article 238,41,,,,,,
GetDetail,Article 348,8,,,,,,
GetDetail,Article 348,3,,,,,,
GetDetail,Article 42,82,,,,,,
GetDetail,Article 348,2,,,,,,
GetDetail,Article 42,4,,,,,,
Search,member from 1982-01-01 to 2015-01-01 page 4,5,,,,,,
Search,member from 1982-01-01 to 2015-01-01 page 3,51,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,103,,,,,,
GetDetail,Email Header 1152,143,,,,,,
GetDetail,Email Header 1142,48,,,,,,
GetDetail,Article 406,140,,,,,,
GetDetail,Article 121,111,,,,,,
GetDetail,Article 265,154,,,,,,
GetDetail,Article 227,52,,,,,,
EditNotes,VASTPSZ_revision_21_July_18_9:33_AM.patch,0,,,,,,
GetDetail,Article 56,25,,,,,,
GetDetail,Article 279,215,,,,,,
GetDetail,Article 99,15,,,,,,
GetDetail,Article 162,113,,,,,,
GetDetail,Article 162,8,,,,,,
GetDetail,Article 408,8,,,,,,
GetDetail,Article 322,26,,,,,,
EditNotes,VASTPSZ_revision_22_July_18_9:43_AM.patch,120,,,,,,
EditNotes,VASTPSZ_revision_26_July_18_9:45_AM.patch,0,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 1,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 2,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 3,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 4,4,,,,,,
GetDetail,Article 193,36,,,,,,
GetDetail,Article 196,20,,,,,,
GetDetail,Article 193,25,,,,,,
GetDetail,Article 112,55,,,,,,
GetDetail,Article 193,4,,,,,,
GetDetail,Article 112,8,,,,,,
GetDetail,Article 223,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 5,6,,,,,,
GetDetail,Article 387,26,,,,,,
GetDetail,Article 2,116,,,,,,
GetDetail,Article 366,30,,,,,,
GetDetail,Article 294,39,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 6,15,,,,,,
GetDetail,Article 79,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 5,6,,,,,,
GetDetail,Article 223,7,,,,,,
GetDetail,Article 129,54,,,,,,
GetDetail,Article 155,43,,,,,,
GetDetail,Article 191,52,,,,,,
GetDetail,Article 193,0,,,,,,
GetDetail,Article 112,165,,,,,,
GetDetail,Article 115,32,,,,,,
GetDetail,Article 80,85,,,,,,
GetDetail,Article 180,72,,,,,,
GetDetail,Article 196,107,,,,,,
GetDetail,Article 294,97,,,,,,
GetDetail,Article 294,6,,,,,,
GetDetail,Article 366,25,,,,,,
GetDetail,Article 366,4,,,,,,
GetDetail,Article 362,22,,,,,,
GetDetail,Article 2,234,,,,,,
GetDetail,Article 362,4,,,,,,
GetDetail,Article 2,10,,,,,,
GetDetail,Article 2,3,,,,,,
GetDetail,Article 387,0,,,,,,
GetDetail,Employee Record 1,0,,,,,,
GetDetail,Article 387,14,,,,,,
GetDetail,Article 362,4,,,,,,
GetDetail,Article 366,4,,,,,,
GetDetail,Article 366,1,,,,,,
GetDetail,Article 294,5,,,,,,
GetDetail,Article 223,4,,,,,,
GetDetail,Article 129,6,,,,,,
GetDetail,Article 155,11,,,,,,
GetDetail,Article 191,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,66,,,,,,
GetDetail,Article 227,0,,,,,,
EditNotes,VASTRDI_revision_1_June_19_10:31_AM.patch,120,,,,,,
EditNotes,VASTRDI_revision_2_June_19_10:33_AM.patch,0,,,,,,
EditNotes,VASTRDI_revision_3_June_19_10:40_AM.patch,29,,,,,,
Search,kidnapped from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,kidnapped from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
AddElement,Kidnapped,47,,,,,,
GetDetail,Article 59,22,,,,,,
GetDetail,Article 430,29,,,,,,
GetDetail,Article 423,61,,,,,,
GetDetail,Article 81,71,,,,,,
GetDetail,Article 81,9,,,,,,
GetDetail,Article 446,48,,,,,,
GetDetail,Article 423,24,,,,,,
GetDetail,Article 59,5,,,,,,
GetDetail,Article 99,56,,,,,,
GetDetail,Article 63,22,,,,,,
GetDetail,Article 442,29,,,,,,
GetDetail,Article 250,21,,,,,,
AddElement,GAStech,21,,,,,,
GetDetail,Article 264,27,,,,,,
AddElement,Edvard Vann,10,,,,,,
AddConnection,"Edvard Vann, GAStech",9,,,,,,
AddConnection,Edvard Vann,11,,,,,,
GetDetail,Article 434,10,,,,,,
GetDetail,Article 434,6,,,,,,
GetDetail,Article 2,18,,,,,,
Search,kidnapped from 1982-01-01 to 2015-01-01 page 1,6,,,,,,
Search,kidnapped from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,35,,,,,,
AddConnection,Edvard Vann,1,,,,,,
AddConnection,Edvard Vann,2,,,,,,
AddConnection,Edvard Vann,6,,,,,,
AddConnection,Edvard Vann,4,,,,,,
AddConnection,Edvard Vann,2,,,,,,
AddConnection,Edvard Vann,1,,,,,,
AddConnection,Edvard Vann,2,,,,,,
AddElement,Sanjorge,7,,,,,,
AddConnection,"Sanjorge, GAStech",1,,,,,,
AddConnection,GAStech,1,,,,,,
